liter_id,liter_name,text
1,一生的长征,《一生的长征》是彭东明创作的长篇纪实文学，首发于《当代》2021年第3期。《一生的长征》讲述了原中央监委驻财政部纪检监察组组长喻杰回到家乡平江山区扶贫济困、为民造福的感人故事，还原了一位忠心向党、全心为民的共产党员光辉的一生。彭东明用丰富的细节刻画了一位令人尊敬的老红军、老党员形象，建立在真实基础上使用小说虚构的笔法达到了较好的艺术效果。
2,芙蓉镇,《芙蓉镇》是古华1981年创作的小说，首次出版于1981年。《芙蓉镇》描写了生活在湘南一个偏僻乡村小镇上卖米豆腐的“芙蓉仙子”胡玉音的命运故事。作者以独特的表现手法，把富有奇丽色彩的风土人情与狂磁巨澜的政治风云揉和在一起。作者把自己二十几年来所熟悉的南方乡村里的人和事，囊括、浓缩进该书里，寓政治风云于风俗民情图画，借人物命运演乡镇生活变迁，力求写出南国乡村的生活色彩和生活情调。《芙蓉镇》在描写手法上充满着民族化的特色，即所谓“极幕人情世态之岐，备写悲欢离合之致”。结构上吸收了中国古典小说的优点而又不受其拘束，使作品呈现出一种以土为主、土洋结合的艺术形态。作者以散发着泥香土热的彩笔，尽情地描绘了山乡小镇眉眼活跳的风土人情。把政治的、经济的乃至整个社会的风云变幻溶于对风情乡土的描写之中，而且不留刀削斧凿的痕迹。这是小说最为突出之点，也是作品立意深厚之所在。《芙蓉镇》曾获1982年第一届茅盾文学奖。1986年，《芙蓉镇》被谢晋改编成电影。
3,边城,《边城》是沈从文创作的中篇小说，首次出版于1934年。该小说以20世纪30年代川湘交界的边城小镇茶峒（边城镇）为背景，以兼具抒情诗和小品文的优美笔触，描绘了湘西地区特有的风土人情；借船家少女翠翠的纯爱故事，展现出了人性的善良美好。由于《边城》的美学艺术，《边城》这部小说在中国近代文学史上具有独特的地位。该小说入选20世纪中文小说100强，排名第二位，仅次于鲁迅的《呐喊》。《国闻周报》从1934年元旦起连载《边城》，四期后中断；3月12日恢复连载，至4月23日止。
4,逐梦海天,《逐梦海天：记“人民英雄”张超》是刘子华创作的长篇报告文学，首次出版于2021年6月。该作品为壮烈牺牲的舰载机飞行员张超立传，真实呈现了和平年代中国军人的英雄本色和气概。作者没有刻意渲染英雄的传奇色彩，而是以烟火气息浓郁的平民化笔触，深度挖掘张超成长过程中的点滴琐事，梳理张超性格养成的生活脉络和轨迹。
5,半条被子,《半条被子》是志在飞创作的长篇小说，首次出版于2019年10月。《半条被子》讲述长征途中红军女战士把仅有的一条被子剪下一半送给老百姓的故事。《半条被子》呈现出对十七年文学史诗品格的继承和超越。其继承性体现在：文学叙事中的思想意蕴绝对服从主流话语对历史现实终极性的价值判断。
6,湘行散记,《湘行散记》是沈从文的散文集代表作之一，这个版本并不只湘行散记，一共有三部分：湘行书简、湘行散记、新湘行记。湘行散记，沈从文根据湘行书简改写而成，发表在报刊杂志上，也出过很多单行本。
7,长河,《长河》是作家沈从文创作的长篇小说，这部未完成的小说首先发表于1943年4月21日的《大公报》，后又收入1945年文聚版《长河》单行本，当属沈从文创作中期的作品。《长河》讲述的故事并不复杂，用作者自己的话来说，所写的就是全面抗战前夕湘西地区“一些平凡人物生活上的‘常’与‘变’，以及在两相乘除中所有的哀乐”。《长河》应该有四卷。也就是说，读者现在看到的《长河》，只是理想中的《长河》的开头。该小说更多关注湘西社会的地方乱局和国家民族危机的现实，以宏阔的视角，映现湘西地方的历史命运，关注湘西人在乱世危局中的现实人生，忧思地方、国家与人的未来，呈现出沈从文对日益变异衰落的湘西社会的沉忧隐痛和对家国政治的强烈关注。
8,将军吟,《将军吟》是当代作家莫应丰创作的长篇小说，首次出版于1980年。《将军吟》讲述“文革”初期，空军第四兵团司令员彭其因反对吴法宪而遭到批判，兵团宣传部部长江醉章操纵造反派绑架彭其，并采取各种手段，欲置其于死地；兵团政委陈镜泉主持对彭其的批斗会，但却在暗中对难中的彭其给予生活和精神上的保护。彭其被撤职，送回兵团后又遭到江醉章的迫害，面对种种莫须有的罪名和令人发指的摧残，彭其坚信党，坚信人民，不畏强权，同江醉章一伙展开了多种斗争。周恩来总理得知消息后派飞机将彭其接到北京。《将军吟》围绕空军某兵团司令员在“文革”中遭受迫害的经历，通过对三个将军不同命运的描述，控诉了林彪、“四人帮”的罪行，真实地反映了现实生活中极其复杂的、尖锐的矛盾斗争，全盘否定了“文化大革命”运动，表达了人民的愿望。全书笔锋锐利，力透纸背。作者以饱满的政治激情，塑造了老一代革命者彭其坚持革命原则、与错误路线作斗争的英雄形象；也刻画了赵大明、陈小炮、彭湘湘等在斗争中成长起来的青年一代形象。作品故事引人，富有生活气息，语言清新。1982年，《将军吟》获得首届茅盾文学奖。
9,黄泥街,《黄泥街》是中国作家残雪首次创作的长篇小说。该小说讲述了黄泥街上的故事，展示了作者作品的晦涩和深邃含义的故事。
10,马桥字典,《马桥词典》是1997年作家出版社出版的图书，是中国作家韩少功1996年出版的一部小说，按照词典的形式，收录了一个虚构的湖南村庄马桥镇的115个词条，这些词汇部分也是作者所虚构（如晕街）。《马桥词典》是对乡村生活的真实描写，这在中国的农村非常普遍。《马桥词典》透视了一个民族生存挣扎的真实情状，挖掘了民族苦难的历史根源，同时展示了中国传统文化的另一面，可以说是为我们提供了认识农村的又一个途径。2019年9月23日，该小说入选“新中国70年70部长篇小说典藏”。
